"Path","ClassName","RefCount","RefFiles"
"scripts/ui/archive/archive_relation_panel.gd","","1","scenes/ui/archive/archive_relation_panel.tscn"
"scripts/ui/archive/line_chart.gd","","1","scenes/ui/archive/archive_personality_panel.tscn"
"scripts/ui/archive/radar_chart.gd","","1","scenes/ui/archive/archive_personality_panel.tscn"
"scripts/ui/archive/relation_graph_node_card.gd","","1","scenes/ui/archive/relation_graph_node_card.tscn"
"scripts/ui/archive/relation_graph_poster.gd","","1","scenes/ui/archive/relation_graph_content.tscn"
"scripts/ui/common/confirm_dialog.gd","","1","scenes/ui/common/confirm_dialog.tscn"
"scripts/ui/common/dialogue_panel.gd","","1","scenes/ui/common/dialogue_panel.tscn"
"scripts/ui/common/info_popup.gd","","1","scenes/ui/common/info_popup.tscn"
"scripts/ui/date/date_bubble_controller.gd","DateBubbleController","1","scripts/ui/date/date_scene.gd"
"scripts/ui/date/date_generation_controller.gd","DateGenerationController","1","scripts/ui/date/date_scene.gd"
"scripts/ui/date/date_location_item.gd","","1","scenes/ui/date/date_location_item.tscn"
"scripts/ui/date/date_plan_state.gd","DatePlanState","1","scripts/ui/date/date_scene.gd"
"scripts/ui/date/date_scene.gd","","1","scenes/ui/date/date_scene.tscn"
"scripts/ui/date/date_scene_presenter.gd","DateScenePresenter","1","scripts/ui/date/date_scene.gd"
"scripts/ui/date/date_type_item.gd","","1","scenes/ui/date/date_type_item.tscn"
"scripts/ui/desktop_pet/desktop_pet.gd","","1","scenes/ui/desktop_pet/desktop_pet.tscn"
"scripts/ui/desktop_pet/desktop_pet_settings_panel.gd","","1","scenes/ui/desktop_pet/desktop_pet_settings_panel.tscn"
"scripts/ui/desktop_pet/pet_body.gd","","1","scenes/ui/desktop_pet/pet_body.tscn"
"scripts/ui/desktop_pet/pomodoro_panel.gd","","1","scenes/ui/desktop_pet/pomodoro_panel.tscn"
"scripts/ui/diary/diary_panel.gd","","1","scenes/ui/diary/diary_panel.tscn"
"scripts/ui/gift/gift_item.gd","","1","scenes/ui/gift/gift_item.tscn"
"scripts/ui/gift/gift_panel.gd","","1","scenes/ui/gift/gift_panel.tscn"
"scripts/ui/guide/guide_overlay.gd","","1","scenes/ui/guide/guide_overlay.tscn"
"scripts/ui/history/history_item.gd","","1","scenes/ui/history/history_item.tscn"
"scripts/ui/history/history_panel.gd","","1","scenes/ui/history/history_panel.tscn"
"scripts/ui/main/background_setting_item.gd","","1","scenes/ui/main/background_setting_item.tscn"
"scripts/ui/main/background_setting_panel.gd","","1","scenes/ui/main/background_setting_panel.tscn"
"scripts/ui/main/backgrounds/core/bg_scene_base.gd","BackgroundSceneBase","1","scripts/ui/main/backgrounds/core/default_room_bg.gd"
"scripts/ui/main/creation_music_panel.gd","","1","scenes/ui/main/creation_music_panel.tscn"
"scripts/ui/main/drawing_board_panel.gd","","1","scenes/ui/main/drawing_board_panel.tscn"
"scripts/ui/main/incoming_call_notification.gd","","1","scenes/ui/main/incoming_call_notification.tscn"
"scripts/ui/main/main_scene.gd","","1","scenes/ui/main/main_scene.tscn"
"scripts/ui/main/music/creation_music_item.gd","","1","scenes/ui/main/music/creation_music_item.tscn"
"scripts/ui/main/music/music_import_popup.gd","","1","scenes/ui/main/music/music_import_popup.tscn"
"scripts/ui/main/music/music_player.gd","","1","scenes/ui/main/music/music_player.tscn"
"scripts/ui/main/music/music_playlist_item.gd","","1","scenes/ui/main/music/music_playlist_item.tscn"
"scripts/ui/main/music/music_playlist_popup.gd","","1","scenes/ui/main/music/music_playlist_popup.tscn"
"scripts/ui/main/top_status_panel.gd","","1","scenes/ui/main/top_status_panel.tscn"
"scripts/ui/main/weather_panel.gd","","1","scenes/ui/main/weather_panel.tscn"
"scripts/ui/map/art_gallery/art_study_menu.gd","","1","scenes/ui/map/art_gallery/art_study_menu.tscn"
"scripts/ui/map/cafe/cafe_making_popup.gd","","1","scenes/ui/map/cafe/cafe_making_popup.tscn"
"scripts/ui/map/cafe/cafe_menu_item_card.gd","CafeMenuItemCard","1","scenes/ui/map/cafe/cafe_menu_item_card.tscn"
"scripts/ui/map/cafe/cafe_order_menu.gd","","1","scenes/ui/map/cafe/cafe_order_menu.tscn"
"scripts/ui/map/core/area_item.gd","","1","scenes/ui/map/core/area_item.tscn"
"scripts/ui/map/core/location_detail_panel.gd","","1","scenes/ui/map/core/location_detail_panel.tscn"
"scripts/ui/map/core/location_hover_tooltip.gd","","1","scenes/ui/map/core/location_hover_tooltip.tscn"
"scripts/ui/map/core/minimap_ui.gd","","1","scenes/ui/map/core/minimap_ui.tscn"
"scripts/ui/map/core/quick_action_button.gd","","1","scenes/ui/map/core/quick_action_button.tscn"
"scripts/ui/map/core/quick_location_scene.gd","","1","scenes/ui/map/core/quick_location_scene.tscn"
"scripts/ui/map/core/study_option_item.gd","","1","scenes/ui/map/core/study_option_item.tscn"
"scripts/ui/map/core/world_map_scene.gd","","1","scenes/ui/map/core/world_map_scene.tscn"
"scripts/ui/map/grand_theater/performance_study_menu.gd","","1","scenes/ui/map/grand_theater/performance_study_menu.tscn"
"scripts/ui/map/gym/gym_training_menu.gd","","1","scenes/ui/map/gym/gym_training_menu.tscn"
"scripts/ui/map/library/tutoring_course_item.gd","","1","scenes/ui/map/library/tutoring_course_item.tscn"
"scripts/ui/map/library/tutoring_menu.gd","","1","scenes/ui/map/library/tutoring_menu.tscn"
"scripts/ui/map/npc/npc_interaction_menu.gd","","1","scenes/ui/map/npc/npc_interaction_menu.tscn"
"scripts/ui/map/npc/quick_npc_portrait.gd","","1","scenes/ui/map/npc/quick_npc_portrait.tscn"
"scripts/ui/mobile/affection_panel.gd","","1","scenes/ui/mobile/affection_panel.tscn"
"scripts/ui/mobile/album_panel.gd","","1","scenes/ui/mobile/album_panel.tscn"
"scripts/ui/mobile/between_panel.gd","","1","scenes/ui/mobile/between_panel.tscn"
"scripts/ui/mobile/camera_panel.gd","","1","scenes/ui/mobile/camera_panel.tscn"
"scripts/ui/mobile/chat/bubbles/character_bubble.gd","","1","scenes/ui/mobile/chat/bubbles/character_bubble.tscn"
"scripts/ui/mobile/chat/bubbles/player_bubble.gd","","1","scenes/ui/mobile/chat/bubbles/player_bubble.tscn"
"scripts/ui/mobile/chat/bubbles/system_bubble.gd","","1","scenes/ui/mobile/chat/bubbles/system_bubble.tscn"
"scripts/ui/mobile/chat/mobile_chat_panel.gd","","1","scenes/ui/mobile/chat/mobile_chat_panel.tscn"
"scripts/ui/mobile/chat/mobile_contact_list.gd","","1","scenes/ui/mobile/chat/mobile_contact_list.tscn"
"scripts/ui/mobile/chat/mobile_contact_list_item.gd","","1","scenes/ui/mobile/chat/mobile_contact_list_item.tscn"
"scripts/ui/mobile/chat/red_packet_interact.gd","","1","scenes/ui/mobile/chat/red_packet_interact.tscn"
"scripts/ui/mobile/chat/video_call_panel.gd","","1","scenes/ui/mobile/chat/video_call_panel.tscn"
"scripts/ui/mobile/chat/voice_call_panel.gd","","1","scenes/ui/mobile/chat/voice_call_panel.tscn"
"scripts/ui/mobile/luna_profile_panel.gd","","1","scenes/ui/mobile/luna_profile_panel.tscn"
