"Path","RefCount","RefFiles"
"scenes/ui/mobile/chat/bubbles/player_bubble.tscn","1","scripts/ui/mobile/chat/mobile_chat_panel.gd"
"scenes/ui/mobile/chat/bubbles/system_bubble.tscn","1","scripts/ui/mobile/chat/mobile_chat_panel.gd"
"scenes/ui/mobile/chat/mobile_contact_list.tscn","1","scripts/ui/mobile/wechat/wechat_main_panel.gd"
"scenes/ui/mobile/chat/mobile_contact_list_item.tscn","1","scripts/ui/mobile/chat/mobile_contact_list.gd"
"scenes/ui/mobile/chat/red_packet_interact.tscn","1","scripts/ui/mobile/chat/mobile_chat_panel.gd"
"scenes/ui/mobile/chat/video_call_panel.tscn","1","scripts/ui/mobile/chat/mobile_chat_panel.gd"
"scenes/ui/mobile/chat/voice_call_panel.tscn","1","scripts/ui/mobile/chat/mobile_chat_panel.gd"
"scenes/ui/mobile/luna_profile_panel.tscn","1","scripts/ui/mobile/mobile_interface.gd"
"scenes/ui/mobile/mail_panel.tscn","1","scripts/ui/mobile/mobile_interface.gd"
"scenes/ui/mobile/moments/moment_item.tscn","1","scripts/ui/mobile/moments/moments_panel.gd"
"scenes/ui/mobile/moments/moments_panel.tscn","1","scripts/ui/mobile/wechat/wechat_main_panel.gd"
"scenes/ui/mobile/tutorial_panel.tscn","1","scripts/ui/mobile/mobile_interface.gd"
"scenes/ui/mobile/wechat/wechat_contact_item.tscn","1","scripts/ui/mobile/wechat/wechat_contact_list.gd"
"scenes/ui/mobile/wechat/wechat_contact_list.tscn","1","scripts/ui/mobile/wechat/wechat_main_panel.gd"
"scenes/ui/mobile/wechat/wechat_main_panel.tscn","1","scripts/ui/mobile/mobile_interface.gd"
"scenes/ui/save_load/save_load_panel.tscn","1","scripts/ui/start/start_scene.gd"
"scenes/ui/save_load/save_slot_item.tscn","1","scripts/ui/save_load/save_load_panel.gd"
"scenes/ui/settings/settings_voice_type_item.tscn","1","scripts/ui/settings/settings_scene.gd"
"scenes/ui/start/bug_feedback_panel.tscn","1","scripts/ui/start/start_scene.gd"
"scenes/ui/start/start_scene.tscn","1","scripts/ui/desktop_pet/desktop_pet.gd"
"scenes/ui/stats/stats_panel.tscn","1","scenes/ui/main/main_scene.tscn"
"scenes/ui/story/character_layer.tscn","1","scenes/ui/story/story_scene.tscn"
"scenes/ui/story/mbti_option_item.tscn","1","scripts/ui/story/player_info_popup.gd"
"scenes/ui/story/player_call_name_popup.tscn","1","scripts/dialogue/dialogue_manager.gd"
"scenes/ui/story/player_info_popup.tscn","1","scripts/ui/start/start_scene.gd"
"scenes/ui/story/quick_option_item.tscn","1","scripts/ui/story/quick_option_list_helper.gd"
"scenes/ui/story/quick_option_loading_item.tscn","1","scripts/ui/story/quick_option_list_helper.gd"
"scenes/ui/story/story_period_card.tscn","1","scripts/dialogue/dialogue_manager.gd"
"scenes/ui/wardrobe/wardrobe_item.tscn","1","scripts/ui/wardrobe/wardrobe_panel.gd"
"scenes/ui/wardrobe/wardrobe_panel.tscn","1","scenes/ui/main/main_scene.tscn"
"scenes/ui/activity/activity_cost_tag.tscn","2","scenes/ui/activity/activity_item.tscn | scripts/ui/activity/activity_item.gd"
"scenes/ui/activity/activity_reward_tag.tscn","2","scenes/ui/activity/activity_item.tscn | scripts/ui/activity/activity_item.gd"
"scenes/ui/activity/category_tab_item.tscn","2","scenes/ui/activity/activity_panel.tscn | scripts/ui/activity/activity_panel.gd"
"scenes/ui/archive/archive_memory_panel.tscn","2","scripts/ui/mobile/mobile_interface.gd | scripts/ui/desktop_pet/desktop_pet.gd"
"scenes/ui/common/dialogue_panel.tscn","2","scenes/ui/story/story_scene.tscn | scenes/ui/main/main_scene.tscn"
"scenes/ui/desktop_pet/desktop_pet.tscn","2","scripts/ui/start/start_scene.gd | scripts/ui/main/main_scene.gd"
"scenes/ui/gift/gift_panel.tscn","2","scripts/ui/main/main_scene.gd | scripts/dialogue/dialogue_manager.gd"
"scenes/ui/history/history_item.tscn","2","scripts/ui/history/history_panel.gd | scripts/dialogue/dialogue_manager.gd"
"scenes/ui/history/history_panel.tscn","2","scripts/ui/main/main_scene.gd | scripts/dialogue/dialogue_manager.gd"
"scenes/ui/main/background_setting_item.tscn","2","scenes/ui/main/background_setting_panel.tscn | scripts/ui/main/background_setting_panel.gd"
"scenes/ui/main/backgrounds/locations/class_break_moments_bg.tscn","2","assets/data/main_backgrounds.json | scenes/ui/main/main_scene.tscn"
"scenes/ui/main/backgrounds/locations/default_room_bg.tscn","2","scripts/ui/main/main_scene.gd | assets/data/main_backgrounds.json"
"scenes/ui/main/music/music_player.tscn","2","scenes/ui/main/main_scene.tscn | scripts/ui/desktop_pet/desktop_pet.gd"
"scenes/ui/map/cafe/cafe_order_menu.tscn","2","scripts/ui/map/npc/npc_interaction_menu.gd | scripts/ui/map/core/quick_location_scene.gd"
"scenes/ui/mobile/affection_panel.tscn","2","scripts/ui/main/main_scene.gd | scripts/ui/desktop_pet/desktop_pet.gd"
"scenes/ui/mobile/camera_panel.tscn","2","scripts/ui/main/main_scene.gd | scripts/dialogue/dialogue_manager.gd"
"scenes/ui/mobile/mobile_interface.tscn","2","scripts/ui/main/main_scene.gd | scripts/dialogue/dialogue_manager.gd"
"scenes/ui/settings/settings_scene.tscn","2","scripts/ui/mobile/mobile_interface.gd | scripts/ui/start/start_scene.gd"
"scenes/ui/story/story_portrait_actor.tscn","2","scripts/ui/story/character_layer.gd | scenes/ui/story/character_layer.tscn"
"scenes/ui/map/core/quick_location_scene.tscn","3","scripts/ui/story/debug_panel.gd | scripts/ui/map/core/world_map_scene.gd | scripts/dialogue/dialogue_manager.gd"
"scenes/ui/map/core/world_map_scene.tscn","3","scripts/ui/map/core/exploration_map.gd | scripts/ui/main/main_scene.gd | scripts/ui/map/core/quick_location_scene.gd"
"scenes/ui/mobile/chat/mobile_chat_panel.tscn","3","scripts/ui/mobile/mobile_interface.gd | scripts/ui/story/debug_panel.gd | scripts/ui/mobile/wechat/wechat_main_panel.gd"
"scenes/ui/story/debug_panel.tscn","3","scripts/ui/start/start_scene.gd | scripts/ui/main/main_scene.gd | scripts/dialogue/dialogue_manager.gd"
"scenes/ui/main/top_status_panel.tscn","4","scenes/ui/map/core/quick_location_scene.tscn | scenes/ui/date/date_scene.tscn | scenes/ui/main/main_scene.tscn | scenes/ui/map/core/world_map_scene.tscn"
"scenes/ui/map/core/study_option_item.tscn","4","scripts/ui/map/gym/gym_training_menu.gd | scripts/ui/map/art_gallery/art_study_menu.gd | scripts/ui/map/grand_theater/performance_study_menu.gd | scripts/ui/map/concert_hall/music_study_menu.gd"
"scenes/ui/common/confirm_dialog.tscn","5","scripts/ui/save_load/save_load_panel.gd | scripts/ui/mobile/mobile_interface.gd | scripts/ui/start/start_scene.gd | scripts/ui/main/main_scene.gd | scripts/data/guide_manager.gd"
"scenes/ui/main/main_scene.tscn","5","scripts/ui/start/start_scene.gd | scripts/ui/activity/schedule_execution_panel.gd | scripts/ui/main/main_scene.gd | scripts/ui/map/core/world_map_scene.gd | scripts/dialogue/dialogue_manager.gd"
"scenes/ui/story/story_scene.tscn","7","scripts/ui/start/start_scene.gd | scripts/ui/activity/schedule_execution_panel.gd | scripts/ui/story/debug_panel.gd | scripts/ui/map/core/world_map_scene.gd | scripts/ui/date/date_scene.gd | scripts/data/event_manager.gd | scripts/data/guide_manager.gd"
